timestamp,image_file,model_type,labels_detected,confidences,result_summary,required_class,required_cnt,result_status
2026-03-19 15:41:10,img12.jpg,LED,8|8|8|8,0.97|0.97|0.98|0.98,PASS,8,4,PASS
2026-03-19 15:41:10,img13.jpg,LED,10|10|10|10,0.86|0.89|0.90|0.92,PASS,10,4,PASS
2026-03-19 15:41:10,img14.jpg,LED,1|1|1|1,0.94|0.96|0.96|0.96,PASS,1,4,PASS
2026-03-19 15:41:10,img15.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.98,PASS,2,4,PASS
2026-03-19 15:41:10,img16.jpg,LED,5|5|5|5,0.97|0.97|0.98|0.98,PASS,5,4,PASS
2026-03-19 15:41:10,img17.jpg,LED,8|8|8|8,0.97|0.97|0.97|0.98,PASS,8,4,PASS
2026-03-19 15:41:10,img18.jpg,LED,10|10|10|10,0.89|0.89|0.89|0.91,PASS,10,4,PASS
2026-03-19 15:41:10,img19.jpg,LED,8|8|8|8|8|8|8|8|8|8|8|10|10|10|10|10|10|10|10|10|10|11|11|11|11|11|11|12|12|12|12|12|12|12|12|12|12,0.85|0.85|0.86|0.89|0.89|0.90|0.90|0.90|0.91|0.93|0.93|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.95|0.95|0.95|0.95|0.95|0.97|0.97|0.97|0.97|0.97|0.97|0.97|0.98|0.98|0.98|0.98,PASS,0,37,PASS
2026-03-19 15:41:10,img2.jpg,LED,5|5|5,0.98|0.98|0.98,PASS,5,3,PASS
2026-03-19 15:41:10,img3.jpg,LED,8|8|8,0.98|0.98|0.98,PASS,8,3,PASS
2026-03-19 15:41:10,img4.jpg,LED,10|10,0.88|0.88,PASS,10,2,PASS
2026-03-19 15:41:10,img5.jpg,LED,11|11|11,0.94|0.95|0.95,PASS,11,3,PASS
2026-03-19 15:41:10,img6.jpg,LED,12|12|12|12|12,0.93|0.94|0.95|0.95|0.95,PASS,12,5,PASS
2026-03-19 15:41:10,img7.jpg,LED,11|11|11,0.94|0.94|0.95,PASS,11,3,PASS
2026-03-19 15:41:10,img8.jpg,LED,12|12|12|12|12,0.94|0.94|0.94|0.95|0.95,PASS,12,5,PASS
2026-03-19 15:41:10,img9.jpg,LED,1|1|1|1,0.96|0.97|0.97|0.97,PASS,1,4,PASS
2026-03-19 15:42:27,img0 - Copy.jpg,LED,1,0.82,"Count Mismatch (Expected 3, Got 1)",1,3,FAIL
2026-03-19 15:42:27,img0.jpg,LED,1|1|1,0.96|0.96|0.97,PASS,1,3,PASS
2026-03-19 15:42:27,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 31.2, Threshold: 111.7)",2,3,FAIL
2026-03-19 15:42:27,img1.jpg,LED,2|2|2,0.98|0.98|0.98,PASS,2,3,PASS
2026-03-19 15:42:27,img10.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.97,"FAIL: Segment 'e' dim/dead. (Score: 112.2, Threshold: 115.4)",2,4,FAIL
2026-03-19 15:42:27,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"Count Mismatch (Expected 3, Got 4) | FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 117.7)",5,3,FAIL
2026-03-19 15:42:27,img11.jpg,LED,5|5|5|5,0.97|0.97|0.97|0.98,PASS,5,4,PASS
2026-03-19 15:42:27,img12.jpg,LED,8|8|8|8,0.97|0.97|0.98|0.98,PASS,8,4,PASS
2026-03-19 15:42:27,img13.jpg,LED,10|10|10|10,0.86|0.89|0.90|0.92,PASS,10,4,PASS
2026-03-19 15:42:27,img14.jpg,LED,1|1|1|1,0.94|0.96|0.96|0.96,PASS,1,4,PASS
2026-03-19 15:42:27,img15.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.98,PASS,2,4,PASS
2026-03-19 15:42:27,img16.jpg,LED,5|5|5|5,0.97|0.97|0.98|0.98,PASS,5,4,PASS
2026-03-19 15:42:27,img17.jpg,LED,8|8|8|8,0.97|0.97|0.97|0.98,PASS,8,4,PASS
2026-03-19 15:42:27,img18.jpg,LED,10|10|10|10,0.89|0.89|0.89|0.91,PASS,10,4,PASS
2026-03-19 15:42:27,img19.jpg,LED,8|8|8|8|8|8|8|8|8|8|8|10|10|10|10|10|10|10|10|10|10|11|11|11|11|11|11|12|12|12|12|12|12|12|12|12|12,0.85|0.85|0.86|0.89|0.89|0.90|0.90|0.90|0.91|0.93|0.93|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.95|0.95|0.95|0.95|0.95|0.97|0.97|0.97|0.97|0.97|0.97|0.97|0.98|0.98|0.98|0.98,PASS,0,37,PASS
2026-03-19 15:42:27,img2.jpg,LED,5|5|5,0.98|0.98|0.98,PASS,5,3,PASS
2026-03-19 15:42:27,img3.jpg,LED,8|8|8,0.98|0.98|0.98,PASS,8,3,PASS
2026-03-19 15:42:27,img4.jpg,LED,10|10,0.88|0.88,PASS,10,2,PASS
2026-03-19 15:42:27,img5.jpg,LED,11|11|11,0.94|0.95|0.95,PASS,11,3,PASS
2026-03-19 15:42:27,img6.jpg,LED,12|12|12|12|12,0.93|0.94|0.95|0.95|0.95,PASS,12,5,PASS
2026-03-19 15:42:27,img7.jpg,LED,11|11|11,0.94|0.94|0.95,PASS,11,3,PASS
2026-03-19 15:42:27,img8.jpg,LED,12|12|12|12|12,0.94|0.94|0.94|0.95|0.95,PASS,12,5,PASS
2026-03-19 15:42:27,img9.jpg,LED,1|1|1|1,0.96|0.97|0.97|0.97,PASS,1,4,PASS
2026-03-19 15:49:12,img0 - Copy.jpg,LED,1,0.82,"Count Mismatch (Expected 3, Got 1)",1,3,FAIL
2026-03-19 15:49:12,img0.jpg,LED,1|1|1,0.96|0.96|0.97,PASS,1,3,PASS
2026-03-19 15:49:12,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 31.2, Threshold: 76.7)",2,3,FAIL
2026-03-19 15:49:12,img1.jpg,LED,2|2|2,0.98|0.98|0.98,PASS,2,3,PASS
2026-03-19 15:49:12,img10.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.97,PASS,2,4,PASS
2026-03-19 15:49:12,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"Count Mismatch (Expected 3, Got 4) | FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 107.0)",5,3,FAIL
2026-03-19 15:49:12,img11.jpg,LED,5|5|5|5,0.97|0.97|0.97|0.98,PASS,5,4,PASS
2026-03-19 15:49:12,img12.jpg,LED,8|8|8|8,0.97|0.97|0.98|0.98,PASS,8,4,PASS
2026-03-19 15:49:12,img13.jpg,LED,10|10|10|10,0.86|0.89|0.90|0.92,PASS,10,4,PASS
2026-03-19 15:49:12,img14.jpg,LED,1|1|1|1,0.94|0.96|0.96|0.96,PASS,1,4,PASS
2026-03-19 15:49:12,img15.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.98,PASS,2,4,PASS
2026-03-19 15:49:12,img16.jpg,LED,5|5|5|5,0.97|0.97|0.98|0.98,PASS,5,4,PASS
2026-03-19 15:49:12,img17.jpg,LED,8|8|8|8,0.97|0.97|0.97|0.98,PASS,8,4,PASS
2026-03-19 15:49:12,img18.jpg,LED,10|10|10|10,0.89|0.89|0.89|0.91,PASS,10,4,PASS
2026-03-19 15:49:12,img19.jpg,LED,8|8|8|8|8|8|8|8|8|8|8|10|10|10|10|10|10|10|10|10|10|11|11|11|11|11|11|12|12|12|12|12|12|12|12|12|12,0.85|0.85|0.86|0.89|0.89|0.90|0.90|0.90|0.91|0.93|0.93|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.94|0.95|0.95|0.95|0.95|0.95|0.97|0.97|0.97|0.97|0.97|0.97|0.97|0.98|0.98|0.98|0.98,PASS,0,37,PASS
2026-03-19 15:49:12,img2.jpg,LED,5|5|5,0.98|0.98|0.98,PASS,5,3,PASS
2026-03-19 15:49:12,img3.jpg,LED,8|8|8,0.98|0.98|0.98,PASS,8,3,PASS
2026-03-19 15:49:12,img4.jpg,LED,10|10,0.88|0.88,PASS,10,2,PASS
2026-03-19 15:49:12,img5.jpg,LED,11|11|11,0.94|0.95|0.95,PASS,11,3,PASS
2026-03-19 15:49:12,img6.jpg,LED,12|12|12|12|12,0.93|0.94|0.95|0.95|0.95,PASS,12,5,PASS
2026-03-19 15:49:12,img7.jpg,LED,11|11|11,0.94|0.94|0.95,PASS,11,3,PASS
2026-03-19 15:49:12,img8.jpg,LED,12|12|12|12|12,0.94|0.94|0.94|0.95|0.95,PASS,12,5,PASS
2026-03-19 15:49:12,img9.jpg,LED,1|1|1|1,0.96|0.97|0.97|0.97,PASS,1,4,PASS
